age,attrition,businesstravel,distancefromhome,education,educationfield,employeenumber,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,standardhours,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,remotework,department,environmentsatisfaction
29,no,travel_frequently,1,1,,,f,3,3, sales executive ,4,married,,1,,14,4,full_time,1,5,3.0,11,4,1,yes,sales,2
55,no,travel_rarely,1,3,medical,374.0,m,3,5, manager ,1,single,19045.0,0,,14,3,full_time,0,2,3.0,36,4,13,yes,unknow,4
41,no,,10,4,,,m,3,4, manager ,2,,16015.0,1,,19,2,full_time,0,2,3.0,22,0,4,yes,unknow,4
39,no,travel_rarely,1,3,,,m,4,3, healthcare representative ,4,,9613.0,0,no,17,1,part_time,3,5,2.0,18,3,7,no,research & development,3
38,no,,15,2,life sciences,,m,2,3, research director ,4,,11510.0,0,,14,2,full_time,1,3,3.0,11,2,9,yes,research & development,3
43,no,,12,3,,,m,2,4, research director ,2,,,1,no,11,3,part_time,1,3,,25,3,9,yes,research & development,1
31,no,,30,2,,524.0,f,3,2, manufacturing director ,1,married,4306.0,1,no,12,2,part_time,1,5,1.0,13,3,12,yes,research & development,2
50,no,travel_rarely,27,4,life sciences,569.0,m,2,4, manager ,3,married,17046.0,0,no,15,2,full_time,1,2,3.0,27,15,7,yes,research & development,2
35,no,,25,3,technical degree,899.0,m,2,3, manufacturing director ,2,married,,3,no,16,1,full_time,0,2,3.0,13,4,8,no,research & development,4
47,no,,16,4,,,m,4,2, manufacturing director ,3,,5067.0,1,yes,19,3,full_time,0,3,,19,2,7,yes,research & development,3
35,no,,25,4,,1014.0,f,3,3, healthcare representative ,3,divorced,,1,yes,11,3,full_time,1,3,2.0,16,10,1,yes,research & development,3
40,no,travel_rarely,20,4,,,m,3,3, healthcare representative ,4,married,,4,,20,4,full_time,1,6,3.0,11,11,1,yes,research & development,1
45,no,,9,4,life sciences,1117.0,f,2,2, sales executive ,3,married,,1,,13,4,part_time,1,2,3.0,15,4,12,no,sales,2
33,no,,9,3,medical,1238.0,m,3,1, research scientist ,4,married,,0,,13,2,full_time,1,5,3.0,14,4,10,no,research & development,1
36,no,travel_frequently,3,3,,,m,3,1, research scientist ,2,married,3692.0,1,no,12,3,full_time,0,2,2.0,11,0,7,no,research & development,3
45,yes,,13,3,marketing,1277.0,f,1,5, manager ,2,,,2,yes,16,1,full_time,0,2,3.0,24,1,11,yes,unknow,1
51,no,travel_frequently,27,3,,,m,3,5, manager ,2,,19847.0,4,yes,24,1,full_time,1,5,2.0,29,11,10,no,unknow,2
34,no,travel_rarely,7,2,technical degree,1541.0,m,3,1, sales representative ,3,,2308.0,0,yes,25,2,full_time,1,4,3.0,11,5,7,no,sales,2
43,no,travel_rarely,15,2,,1666.0,m,2,4, research director ,3,,,1,no,24,1,full_time,1,3,3.0,14,6,11,yes,research & development,3
34,no,,5,2,medical,1696.0,m,2,2, laboratory technician ,4,,,1,no,14,3,full_time,1,3,,15,4,13,no,research & development,2
38,no,,2,3,,1805.0,m,3,1, human resources ,2,divorced,,5,no,13,4,full_time,3,3,3.0,11,3,8,yes,human resources,1
48,no,,10,3,,,m,2,5, research director ,2,,,4,no,12,4,full_time,0,3,3.0,22,12,9,no,research & development,4
34,no,,22,4,other,1932.0,m,2,2, research scientist ,4,married,5747.0,1,yes,15,2,full_time,0,3,3.0,15,6,11,no,research & development,3
32,no,travel_rarely,31,4,,2016.0,f,3,3, sales executive ,4,,10422.0,1,no,19,3,full_time,2,3,3.0,14,5,7,yes,sales,3
29,no,travel_rarely,21,4,life sciences,20.0,f,4,3, manufacturing director ,1,divorced,,1,no,11,3,full_time,1,1,3.0,10,8,8,no,research & development,2
46,no,,1,3,medical,,m,2,3, healthcare representative ,1,married,,2,yes,13,3,full_time,1,5,2.0,10,9,5,no,research & development,3
30,no,,9,3,,184.0,m,3,2, human resources ,4,married,6347.0,0,yes,19,4,part_time,0,2,1.0,11,4,7,no,human resources,3
45,no,,9,3,life sciences,206.0,m,3,2, laboratory technician ,2,,2348.0,8,no,18,3,full_time,1,2,,17,0,15,yes,research & development,2
30,no,travel_rarely,5,3,,228.0,f,3,3, sales executive ,4,,,2,no,12,3,full_time,1,2,3.0,10,7,4,yes,sales,2
30,no,,9,3,,239.0,m,3,2, laboratory technician ,1,,3072.0,1,no,11,3,part_time,2,4,3.0,12,6,10,yes,research & development,3
34,no,travel_frequently,29,1,,256.0,m,2,2, manufacturing director ,3,married,,1,,17,3,full_time,0,2,2.0,10,1,9,no,research & development,4
51,no,travel_rarely,8,4,life sciences,,m,2,3, research director ,2,married,12490.0,5,no,16,4,full_time,2,5,1.0,10,4,7,no,research & development,2
34,no,,39,4,life sciences,339.0,m,2,2, manufacturing director ,1,,,6,,13,2,full_time,1,3,3.0,11,5,9,yes,research & development,3
35,no,travel_rarely,16,3,,406.0,m,3,3, sales executive ,2,married,8020.0,0,,15,3,full_time,2,3,2.0,11,6,9,yes,sales,3
45,no,travel_frequently,7,3,life sciences,,m,3,3, laboratory technician ,1,,,1,,18,1,full_time,1,2,3.0,24,9,11,yes,research & development,1
39,no,,10,1,,429.0,m,3,4, manager ,1,married,17068.0,1,,14,4,full_time,0,3,3.0,21,11,10,yes,unknow,3
31,no,,7,2,,,f,2,3, manufacturing director ,3,married,8943.0,1,no,24,1,full_time,1,2,3.0,10,8,9,no,research & development,3
39,no,,7,2,,444.0,m,2,5, manager ,4,married,19272.0,1,,15,1,full_time,1,2,3.0,21,13,3,yes,research & development,3
45,no,travel_rarely,8,4,,452.0,m,3,2, research scientist ,4,,,9,no,14,1,part_time,2,3,3.0,10,9,8,yes,research & development,4
30,no,travel_rarely,5,3,marketing,456.0,f,2,2, sales executive ,3,,,1,,13,3,full_time,3,2,3.0,10,1,2,yes,sales,4
31,no,,7,4,medical,,f,3,3, manufacturing director ,4,,,1,,14,3,full_time,0,2,2.0,11,4,10,no,research & development,3
36,no,,3,4,medical,481.0,m,2,3, sales executive ,4,married,,4,no,11,1,full_time,1,2,3.0,13,1,12,yes,sales,1
36,no,travel_rarely,2,2,,513.0,m,2,3, sales executive ,3,married,,1,,13,2,full_time,2,2,3.0,10,9,0,yes,sales,2
55,no,travel_rarely,18,5,,597.0,f,3,4, manager ,2,single,,3,no,23,4,full_time,0,2,3.0,10,7,7,yes,unknow,1
35,no,,1,3,,600.0,m,3,2, sales executive ,3,,,9,,11,3,full_time,0,2,3.0,11,6,9,yes,sales,2
42,no,travel_rarely,24,3,medical,,m,3,3, manufacturing director ,1,married,,1,,21,4,part_time,1,5,2.0,10,5,8,no,research & development,4
52,no,travel_rarely,6,2,,630.0,m,3,2, research scientist ,1,divorced,5577.0,3,yes,12,2,full_time,2,3,3.0,10,6,9,yes,research & development,4
49,no,,18,4,life sciences,638.0,m,2,5, research director ,3,,,1,yes,17,3,full_time,1,5,3.0,31,0,9,yes,research & development,4
34,no,travel_rarely,1,5,,683.0,m,3,1, research scientist ,4,married,2691.0,1,no,12,4,part_time,1,4,2.0,10,8,8,yes,research & development,2
33,yes,travel_rarely,1,4,other,780.0,m,3,1, research scientist ,4,single,,1,,13,3,part_time,0,2,2.0,10,7,8,no,research & development,4
33,no,,7,3,medical,817.0,m,3,3, research director ,3,married,,0,no,11,4,full_time,0,3,4.0,13,3,7,yes,research & development,3
53,no,travel_rarely,23,4,,901.0,f,3,4, research director ,4,,,6,no,18,3,full_time,0,0,3.0,12,3,8,yes,research & development,4
49,no,travel_rarely,8,2,other,944.0,f,3,3, laboratory technician ,2,married,7403.0,4,,11,3,full_time,1,3,2.0,26,1,7,no,research & development,1
35,no,,21,4,,984.0,m,3,3, sales executive ,4,,,6,,13,2,part_time,1,2,3.0,10,0,8,no,sales,2
38,no,travel_rarely,17,1,life sciences,1088.0,f,2,3, healthcare representative ,3,married,8823.0,0,,18,1,full_time,1,4,2.0,19,1,9,no,research & development,3
46,no,,3,1,marketing,1124.0,m,3,4, manager ,3,married,,3,no,12,4,full_time,1,3,3.0,12,4,9,no,sales,1
36,no,non_travel,18,4,,,m,3,2, manufacturing director ,4,single,,2,,20,1,full_time,0,0,3.0,11,0,9,no,research & development,1
42,yes,travel_frequently,15,3,life sciences,1167.0,m,3,4, sales executive ,1,single,,0,,12,2,full_time,0,2,2.0,21,13,14,yes,sales,1
34,no,travel_frequently,1,3,,1184.0,m,2,2, healthcare representative ,1,single,,0,no,20,3,full_time,0,3,3.0,13,4,9,yes,research & development,4
30,no,travel_rarely,1,3,medical,,m,3,1, research scientist ,2,,3579.0,0,yes,21,1,full_time,1,2,3.0,11,5,7,yes,research & development,4
54,no,travel_rarely,3,3,life sciences,,m,3,4, research director ,4,married,17779.0,3,no,14,1,part_time,0,2,3.0,10,0,9,yes,research & development,4
31,no,travel_rarely,24,3,medical,1252.0,f,2,2, healthcare representative ,1,single,,1,no,19,2,full_time,0,2,3.0,10,1,8,no,research & development,3
44,no,,5,3,,1267.0,m,3,5, manager ,2,married,18213.0,7,no,11,3,part_time,1,5,3.0,22,3,10,yes,unknow,2
55,no,non_travel,8,1,,1278.0,m,2,4, healthcare representative ,2,divorced,13577.0,1,yes,15,4,full_time,1,3,3.0,33,15,0,no,research & development,4
44,no,travel_rarely,4,2,life sciences,1288.0,m,4,5, manager ,1,divorced,19190.0,1,no,14,4,full_time,2,4,2.0,25,14,13,no,unknow,3
34,no,travel_frequently,11,3,life sciences,,m,2,2, human resources ,2,,,4,no,11,4,full_time,2,5,4.0,10,1,8,yes,human resources,3
39,no,,13,4,,1307.0,f,2,4, manager ,2,divorced,17123.0,6,yes,13,4,full_time,2,4,3.0,19,15,2,no,unknow,3
55,no,travel_rarely,2,2,medical,1336.0,f,1,5, manager ,3,,19187.0,4,,14,4,full_time,1,5,3.0,19,9,11,yes,unknow,4
51,no,,5,3,life sciences,1352.0,m,3,4, manager ,2,,,1,,11,2,part_time,1,2,3.0,33,0,10,yes,unknow,3
58,yes,,14,4,medical,1360.0,f,2,3, manufacturing director ,1,married,10008.0,7,,14,4,part_time,0,0,2.0,10,5,9,yes,research & development,1
48,no,,4,3,life sciences,,m,3,3, manufacturing director ,4,single,,1,no,11,3,full_time,0,2,3.0,10,0,8,yes,research & development,4
29,no,travel_rarely,17,3,,1419.0,m,2,3, human resources ,1,single,7988.0,1,,13,1,full_time,0,3,2.0,10,0,9,no,human resources,2
34,no,,3,3,other,1478.0,m,1,2, sales executive ,1,single,,3,no,18,4,part_time,0,2,3.0,13,3,12,yes,sales,4
42,no,travel_frequently,9,2,,1480.0,f,3,1, laboratory technician ,4,,,1,,13,3,full_time,0,3,3.0,12,5,8,yes,research & development,1
57,no,travel_rarely,1,2,life sciences,,m,4,2, research scientist ,3,married,,0,no,24,1,full_time,1,2,2.0,12,2,8,yes,research & development,2
34,yes,travel_rarely,24,4,,1489.0,f,2,2, sales executive ,2,single,,0,yes,23,3,full_time,0,2,4.0,15,10,10,no,sales,1
54,no,travel_frequently,11,4,medical,1520.0,f,3,4, manager ,4,,,3,no,20,1,full_time,1,2,3.0,14,1,12,yes,unknow,2
34,no,travel_rarely,1,3,,1535.0,m,2,3, sales executive ,3,,7083.0,1,,14,4,part_time,0,3,3.0,10,8,6,no,sales,4
29,no,,3,1,medical,1586.0,m,3,1, laboratory technician ,1,single,4723.0,1,,18,4,full_time,0,3,,10,1,5,yes,research & development,2
35,no,travel_rarely,28,3,life sciences,1596.0,m,4,2, laboratory technician ,3,,3407.0,1,,17,4,full_time,2,3,2.0,10,6,8,yes,research & development,2
35,yes,,12,4,other,1667.0,m,3,2, sales executive ,4,,,3,,24,1,full_time,0,2,4.0,11,6,7,yes,sales,4
34,no,travel_rarely,19,3,life sciences,1701.0,f,2,1, research scientist ,4,married,2929.0,1,no,12,2,full_time,0,3,3.0,10,8,7,yes,research & development,2
43,no,,2,3,,1706.0,m,3,2, sales executive ,4,,,1,yes,17,1,full_time,1,3,3.0,10,8,8,no,sales,4
58,no,non_travel,2,3,medical,,m,3,4, manager ,2,divorced,,4,no,22,4,full_time,1,0,2.0,16,14,14,yes,unknow,2
36,no,travel_rarely,14,4,,,f,2,2, sales executive ,3,married,,1,yes,13,1,full_time,1,4,3.0,10,1,7,no,sales,1
43,no,travel_rarely,11,3,life sciences,1971.0,m,3,3, healthcare representative ,3,married,,1,,17,2,full_time,1,1,3.0,10,0,9,yes,research & development,1
55,no,,26,4,human resources,,m,4,5, manager ,2,married,,4,yes,18,1,part_time,1,0,3.0,10,1,4,yes,unknow,3
42,no,,23,2,,1976.0,m,2,2, research scientist ,3,single,,1,,12,4,part_time,0,2,3.0,20,3,7,yes,research & development,4
40,no,,11,3,technical degree,1985.0,f,3,2, laboratory technician ,3,married,,1,,11,1,full_time,1,2,4.0,10,9,4,yes,research & development,4
56,yes,,7,2,technical degree,2032.0,m,3,1, laboratory technician ,3,married,,8,no,11,4,part_time,1,4,1.0,10,9,8,yes,research & development,4
39,no,travel_rarely,33,1,marketing,2056.0,f,2,4, sales executive ,4,,12031.0,0,,11,1,part_time,1,2,2.0,20,9,6,yes,sales,3
53,no,travel_rarely,2,4,life sciences,,f,2,4, manager ,4,married,15427.0,2,no,16,3,part_time,0,3,3.0,25,3,7,yes,unknow,1
27,no,travel_frequently,8,3,,,m,3,3, sales executive ,3,single,,1,no,15,4,full_time,0,0,3.0,9,1,7,no,sales,4
30,no,travel_frequently,1,2,,57.0,f,3,2, laboratory technician ,4,,,1,,23,4,full_time,0,2,,12,3,7,yes,research & development,3
35,no,,18,5,life sciences,,m,3,3, sales executive ,1,married,,1,,22,4,part_time,1,3,2.0,9,1,8,yes,sales,2
32,no,travel_rarely,1,3,medical,78.0,m,3,2, manufacturing director ,4,married,6162.0,1,yes,22,2,full_time,1,3,3.0,9,7,8,yes,research & development,1
30,no,travel_rarely,1,1,life sciences,104.0,m,2,2, laboratory technician ,4,married,5126.0,1,,12,3,full_time,2,1,,10,3,0,no,research & development,4
46,yes,,9,2,medical,118.0,m,2,3, sales executive ,4,,9619.0,1,no,16,4,full_time,0,3,3.0,9,4,7,no,sales,3
30,no,travel_rarely,4,2,,121.0,f,2,2, sales executive ,2,,,1,yes,12,2,full_time,3,4,2.0,11,2,7,no,sales,3
32,no,,6,4,,125.0,m,3,2, sales executive ,3,single,5010.0,1,no,16,1,part_time,0,0,3.0,11,5,7,yes,sales,2
35,no,travel_rarely,37,5,marketing,,m,3,3, sales executive ,2,married,,1,,13,1,full_time,2,3,3.0,10,0,6,no,sales,3
32,no,,8,3,marketing,207.0,f,3,3, sales executive ,4,single,,1,,14,4,part_time,0,2,3.0,9,3,7,yes,sales,2
41,no,travel_rarely,34,3,life sciences,227.0,m,3,1, research scientist ,3,divorced,,4,no,12,1,full_time,1,2,3.0,9,1,8,yes,research & development,1
40,no,travel_rarely,4,1,medical,253.0,f,3,5, manager ,3,,19033.0,1,no,14,2,full_time,1,2,3.0,20,9,9,no,unknow,4
45,no,,2,2,,264.0,m,2,4, manager ,4,married,,9,no,23,4,full_time,1,1,3.0,20,11,8,yes,unknow,1
32,yes,travel_rarely,4,4,,291.0,m,1,3, sales executive ,4,married,10400.0,1,no,11,3,part_time,0,2,2.0,14,9,8,no,sales,4
30,no,non_travel,1,1,life sciences,292.0,m,2,3, manufacturing director ,3,,,1,no,22,3,part_time,0,2,3.0,11,5,8,yes,research & development,3
37,no,,11,3,,306.0,m,3,3, research director ,4,,,1,,14,3,full_time,3,1,3.0,10,0,7,yes,research & development,2
37,no,,4,4,,,m,3,1, sales representative ,4,divorced,2793.0,4,no,17,3,part_time,1,2,3.0,9,5,8,no,sales,1
