age,attrition,businesstravel,distancefromhome,education,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,relationshipsatisfaction,standardhours,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,remotework,department,environmentsatisfaction
40,no,travel_rarely,2,4,f,3,5, manager ,3,Unknown,18041.0,0,no,14,4,full_time,0,2,3,20,1,12,no,unknow,3
58,yes,travel_rarely,2,4,m,3,5, research director ,2,single,19246.0,7,yes,12,4,full_time,0,2,3,31,13,8,no,research & development,4
46,no,travel_rarely,2,3,f,3,4, manager ,1,Unknown,6477.686121919585,8,Unknown,23,1,full_time,0,2,3,26,15,9,no,unknow,3
35,no,Unknown,13,5,m,4,2, research scientist ,1,married,6477.686121919585,1,Unknown,11,4,full_time,0,2,3,16,1,10,no,research & development,2
40,no,travel_rarely,15,3,f,2,3, manufacturing director ,3,Unknown,6477.686121919585,1,Unknown,13,4,full_time,2,2,3,18,14,12,yes,research & development,1
45,no,non_travel,1,1,m,2,3, healthcare representative ,3,Unknown,10748.0,3,Unknown,23,4,full_time,1,3,2,23,14,4,no,research & development,3
33,no,Unknown,1,2,f,3,3, research director ,4,single,6477.686121919585,1,yes,12,3,full_time,0,1,3,15,8,12,yes,research & development,1
36,no,Unknown,8,3,f,3,3, healthcare representative ,3,divorced,6477.686121919585,1,Unknown,13,2,full_time,3,2,3,17,12,8,yes,research & development,3
47,no,Unknown,2,2,f,3,4, manager ,4,married,16752.0,1,Unknown,11,3,part_time,1,3,2,26,3,0,no,unknow,3
36,no,travel_rarely,42,2,m,3,2, sales executive ,4,Unknown,6201.0,1,Unknown,14,4,full_time,1,1,3,18,4,11,yes,sales,4
35,no,Unknown,9,3,f,2,3, manufacturing director ,3,married,6477.686121919585,1,yes,20,2,part_time,1,2,3,17,5,15,no,research & development,4
52,yes,Unknown,2,1,f,1,5, manager ,4,married,19845.0,1,no,15,4,full_time,1,3,3,32,6,9,yes,unknow,1
36,no,Unknown,2,4,f,3,2, manufacturing director ,2,single,6477.686121919585,9,yes,11,4,full_time,0,2,3,16,5,12,no,research & development,3
33,no,travel_rarely,28,4,m,3,2, laboratory technician ,3,married,6477.686121919585,1,Unknown,12,2,full_time,1,3,3,15,5,7,yes,research & development,2
34,no,non_travel,10,3,m,3,2, sales executive ,3,Unknown,4001.0,1,yes,14,3,full_time,1,3,3,15,0,7,yes,sales,4
41,no,Unknown,37,1,f,3,3, sales executive ,3,divorced,10447.0,0,Unknown,13,4,full_time,1,3,4,22,13,5,yes,sales,3
47,no,Unknown,25,3,m,3,3, healthcare representative ,3,Unknown,6477.686121919585,2,Unknown,23,2,full_time,0,3,3,17,12,11,yes,research & development,1
53,no,travel_rarely,5,3,f,3,5, manager ,3,Unknown,6477.686121919585,4,Unknown,11,4,full_time,1,3,2,14,4,8,yes,unknow,3
35,no,Unknown,1,4,m,2,2, sales executive ,1,single,6477.686121919585,0,no,14,2,part_time,0,2,3,15,2,8,no,sales,3
34,no,travel_rarely,6,4,f,3,2, research scientist ,3,single,6477.686121919585,1,Unknown,14,3,full_time,0,3,3,16,2,10,yes,research & development,1
46,no,travel_rarely,1,2,f,3,3, sales executive ,1,divorced,6477.686121919585,1,no,25,3,full_time,3,2,3,24,15,7,yes,sales,2
43,no,Unknown,16,3,f,3,4, manager ,4,married,16064.0,5,Unknown,22,3,full_time,1,3,3,17,1,9,yes,unknow,4
36,no,Unknown,6,3,m,3,1, laboratory technician ,4,married,3210.0,0,Unknown,11,3,full_time,1,4,3,15,10,11,yes,research & development,4
60,no,travel_frequently,28,3,f,2,3, sales executive ,1,married,10266.0,4,no,19,4,full_time,0,5,4,18,13,11,yes,sales,3
40,no,travel_frequently,5,4,m,2,3, sales executive ,1,married,10475.0,5,yes,21,3,part_time,1,2,3,18,1,12,no,sales,4
32,no,travel_rarely,4,3,f,2,2, manufacturing director ,3,married,6162.0,1,no,12,3,part_time,1,3,3,14,6,8,no,research & development,3
41,no,travel_rarely,35,3,m,3,1, laboratory technician ,1,single,4721.0,2,yes,13,3,full_time,0,3,3,18,2,17,yes,research & development,3
53,no,Unknown,2,2,m,3,4, manager ,3,divorced,6477.686121919585,6,no,13,3,full_time,1,3,4,17,15,2,no,unknow,3
36,yes,travel_rarely,16,4,f,4,1, laboratory technician ,1,single,6477.686121919585,1,Unknown,16,3,part_time,0,1,3,17,15,14,yes,research & development,3
46,no,Unknown,8,4,f,2,2, research scientist ,1,divorced,4615.0,8,yes,23,1,full_time,3,2,3,16,1,7,no,research & development,4
38,no,travel_rarely,1,4,m,3,2, sales executive ,2,married,6477.686121919585,0,no,15,1,full_time,2,3,3,15,5,8,yes,sales,4
51,no,Unknown,1,4,f,2,3, healthcare representative ,1,single,6477.686121919585,3,Unknown,20,3,full_time,0,1,2,13,12,8,yes,research & development,1
43,no,Unknown,26,2,m,3,4, manager ,4,married,16959.0,1,yes,12,4,part_time,2,3,4,25,4,12,yes,unknow,3
37,no,Unknown,1,3,f,3,1, research scientist ,4,single,6477.686121919585,1,no,12,2,part_time,0,3,3,17,5,7,yes,research & development,4
32,no,travel_rarely,8,2,f,2,2, sales executive ,2,married,6477.686121919585,1,yes,11,4,part_time,0,2,3,13,11,9,yes,sales,3
38,no,Unknown,1,3,f,3,3, research director ,1,married,6477.686121919585,1,Unknown,13,2,full_time,1,3,3,15,5,11,no,research & development,4
46,no,Unknown,3,3,f,3,4, manager ,2,Unknown,6477.686121919585,8,no,12,4,part_time,1,2,4,13,5,1,yes,unknow,3
35,yes,travel_rarely,10,3,m,2,3, sales executive ,1,married,10306.0,9,Unknown,17,3,full_time,0,3,3,13,6,0,no,sales,4
43,no,Unknown,6,3,f,2,5, manager ,3,married,6477.686121919585,7,no,13,4,full_time,0,2,3,16,6,14,yes,unknow,1
56,no,non_travel,1,4,m,3,2, healthcare representative ,3,divorced,6477.686121919585,1,no,21,1,full_time,1,2,2,13,1,9,yes,research & development,3
36,no,non_travel,15,4,m,1,2, sales executive ,4,divorced,5406.0,1,no,24,1,part_time,1,4,2,15,11,11,yes,sales,4
38,no,Unknown,6,3,f,1,2, research scientist ,4,Unknown,6477.686121919585,7,Unknown,12,4,full_time,3,3,3,13,1,9,yes,research & development,2
49,no,Unknown,26,4,f,3,2, manufacturing director ,1,Unknown,6477.686121919585,1,no,14,3,full_time,0,2,2,15,5,11,no,research & development,3
39,no,travel_rarely,4,4,f,2,2, sales executive ,3,married,5902.0,4,Unknown,14,3,part_time,1,1,4,15,5,9,yes,sales,4
40,no,Unknown,4,4,m,2,3, sales executive ,4,married,10855.0,7,no,11,1,full_time,1,2,2,12,2,11,yes,sales,3
36,no,Unknown,5,2,m,3,2, laboratory technician ,2,single,5914.0,8,no,16,4,part_time,0,3,4,13,3,7,yes,research & development,4
37,no,Unknown,25,5,f,3,2, research scientist ,3,married,6477.686121919585,3,yes,15,1,part_time,2,2,3,13,10,7,no,research & development,2
35,no,Unknown,6,4,m,1,2, research scientist ,4,Unknown,6646.0,1,Unknown,13,2,full_time,0,3,3,17,11,8,yes,research & development,2
33,no,travel_frequently,6,3,m,3,2, healthcare representative ,4,divorced,6477.686121919585,3,no,23,3,full_time,1,2,1,13,4,7,no,research & development,3
50,no,travel_rarely,24,3,m,3,4, manufacturing director ,3,married,13973.0,3,yes,18,4,full_time,1,2,3,12,1,5,no,research & development,4
48,no,travel_rarely,4,4,m,2,3, healthcare representative ,3,single,6477.686121919585,7,Unknown,14,2,part_time,0,3,3,15,4,8,yes,research & development,3
44,no,travel_rarely,28,3,f,4,4, sales executive ,4,married,13320.0,3,Unknown,18,3,part_time,1,2,3,12,11,11,yes,sales,4
44,no,travel_rarely,29,4,m,3,2, research scientist ,4,single,6477.686121919585,1,Unknown,25,2,full_time,0,3,3,20,13,17,yes,research & development,4
40,no,Unknown,25,1,f,4,2, healthcare representative ,3,Unknown,6477.686121919585,5,no,20,2,full_time,3,0,3,12,11,8,yes,research & development,2
34,no,travel_rarely,2,4,f,3,2, healthcare representative ,4,single,6687.0,1,Unknown,11,4,part_time,0,2,4,14,4,11,yes,research & development,3
35,no,non_travel,8,4,f,3,2, healthcare representative ,3,Unknown,6477.686121919585,1,Unknown,12,4,part_time,1,5,3,14,2,9,yes,research & development,3
50,no,Unknown,17,5,f,2,3, research director ,1,Unknown,6477.686121919585,5,no,15,3,full_time,3,3,3,14,1,11,no,research & development,4
49,no,Unknown,6,1,f,2,4, healthcare representative ,3,Unknown,6477.686121919585,2,Unknown,19,2,part_time,1,3,3,15,2,12,yes,research & development,3
38,no,travel_frequently,1,3,m,3,2, research scientist ,4,Unknown,4735.0,7,no,15,4,part_time,2,4,3,13,2,9,yes,research & development,4
33,no,Unknown,21,3,m,4,1, laboratory technician ,2,Unknown,6477.686121919585,1,no,18,4,full_time,3,6,3,14,2,13,yes,research & development,2
47,no,travel_rarely,4,3,f,2,3, manufacturing director ,2,divorced,6477.686121919585,8,yes,12,3,full_time,1,4,3,22,14,10,yes,research & development,3
38,no,Unknown,8,3,f,2,2, research scientist ,2,divorced,6477.686121919585,1,Unknown,16,3,full_time,1,3,3,20,0,7,no,research & development,4
37,no,travel_rarely,10,3,f,4,3, research director ,4,Unknown,6477.686121919585,1,yes,25,1,full_time,1,2,3,16,6,8,yes,research & development,3
30,no,Unknown,2,3,m,2,2, healthcare representative ,4,married,6477.686121919585,1,no,19,1,part_time,3,3,3,11,10,8,yes,research & development,3
58,no,travel_rarely,18,4,m,3,4, sales executive ,3,single,13872.0,0,Unknown,13,3,full_time,0,1,2,37,1,8,yes,sales,4
34,no,travel_rarely,5,3,f,2,3, manager ,1,single,6477.686121919585,2,Unknown,12,4,part_time,0,6,3,11,5,8,no,unknow,3
58,yes,travel_rarely,23,4,f,3,3, healthcare representative ,4,married,6477.686121919585,1,Unknown,12,4,full_time,1,3,2,40,15,6,yes,research & development,4
38,no,Unknown,3,3,m,3,3, sales executive ,3,divorced,6477.686121919585,0,Unknown,12,3,full_time,2,6,2,16,5,13,yes,sales,1
29,no,travel_frequently,1,1,f,3,3, sales executive ,4,married,6477.686121919585,1,Unknown,14,4,full_time,1,5,3,11,4,1,yes,sales,2
55,no,travel_rarely,1,3,m,3,5, manager ,1,single,19045.0,0,Unknown,14,3,full_time,0,2,3,36,4,13,yes,unknow,4
41,no,Unknown,10,4,m,3,4, manager ,2,Unknown,16015.0,1,Unknown,19,2,full_time,0,2,3,22,0,4,yes,unknow,4
39,no,travel_rarely,1,3,m,4,3, healthcare representative ,4,Unknown,9613.0,0,no,17,1,part_time,3,5,2,18,3,7,no,research & development,3
38,no,Unknown,15,2,m,2,3, research director ,4,Unknown,11510.0,0,Unknown,14,2,full_time,1,3,3,11,2,9,yes,research & development,3
43,no,Unknown,12,3,m,2,4, research director ,2,Unknown,6477.686121919585,1,no,11,3,part_time,1,3,3,25,3,9,yes,research & development,1
31,no,Unknown,30,2,f,3,2, manufacturing director ,1,married,4306.0,1,no,12,2,part_time,1,5,1,13,3,12,yes,research & development,2
50,no,travel_rarely,27,4,m,2,4, manager ,3,married,17046.0,0,no,15,2,full_time,1,2,3,27,15,7,yes,research & development,2
35,no,Unknown,25,3,m,2,3, manufacturing director ,2,married,6477.686121919585,3,no,16,1,full_time,0,2,3,13,4,8,no,research & development,4
47,no,Unknown,16,4,m,4,2, manufacturing director ,3,Unknown,5067.0,1,yes,19,3,full_time,0,3,3,19,2,7,yes,research & development,3
35,no,Unknown,25,4,f,3,3, healthcare representative ,3,divorced,6477.686121919585,1,yes,11,3,full_time,1,3,2,16,10,1,yes,research & development,3
40,no,travel_rarely,20,4,m,3,3, healthcare representative ,4,married,6477.686121919585,4,Unknown,20,4,full_time,1,6,3,11,11,1,yes,research & development,1
45,no,Unknown,9,4,f,2,2, sales executive ,3,married,6477.686121919585,1,Unknown,13,4,part_time,1,2,3,15,4,12,no,sales,2
33,no,Unknown,9,3,m,3,1, research scientist ,4,married,6477.686121919585,0,Unknown,13,2,full_time,1,5,3,14,4,10,no,research & development,1
36,no,travel_frequently,3,3,m,3,1, research scientist ,2,married,3692.0,1,no,12,3,full_time,0,2,2,11,0,7,no,research & development,3
45,yes,Unknown,13,3,f,1,5, manager ,2,Unknown,6477.686121919585,2,yes,16,1,full_time,0,2,3,24,1,11,yes,unknow,1
51,no,travel_frequently,27,3,m,3,5, manager ,2,Unknown,19847.0,4,yes,24,1,full_time,1,5,2,29,11,10,no,unknow,2
34,no,travel_rarely,7,2,m,3,1, sales representative ,3,Unknown,2308.0,0,yes,25,2,full_time,1,4,3,11,5,7,no,sales,2
43,no,travel_rarely,15,2,m,2,4, research director ,3,Unknown,6477.686121919585,1,no,24,1,full_time,1,3,3,14,6,11,yes,research & development,3
34,no,Unknown,5,2,m,2,2, laboratory technician ,4,Unknown,6477.686121919585,1,no,14,3,full_time,1,3,3,15,4,13,no,research & development,2
38,no,Unknown,2,3,m,3,1, human resources ,2,divorced,6477.686121919585,5,no,13,4,full_time,3,3,3,11,3,8,yes,human resources,1
48,no,Unknown,10,3,m,2,5, research director ,2,Unknown,6477.686121919585,4,no,12,4,full_time,0,3,3,22,12,9,no,research & development,4
34,no,Unknown,22,4,m,2,2, research scientist ,4,married,5747.0,1,yes,15,2,full_time,0,3,3,15,6,11,no,research & development,3
32,no,travel_rarely,31,4,f,3,3, sales executive ,4,Unknown,10422.0,1,no,19,3,full_time,2,3,3,14,5,7,yes,sales,3
29,no,travel_rarely,21,4,f,4,3, manufacturing director ,1,divorced,6477.686121919585,1,no,11,3,full_time,1,1,3,10,8,8,no,research & development,2
46,no,Unknown,1,3,m,2,3, healthcare representative ,1,married,6477.686121919585,2,yes,13,3,full_time,1,5,2,10,9,5,no,research & development,3
30,no,Unknown,9,3,m,3,2, human resources ,4,married,6347.0,0,yes,19,4,part_time,0,2,1,11,4,7,no,human resources,3
45,no,Unknown,9,3,m,3,2, laboratory technician ,2,Unknown,2348.0,8,no,18,3,full_time,1,2,3,17,0,15,yes,research & development,2
30,no,travel_rarely,5,3,f,3,3, sales executive ,4,Unknown,6477.686121919585,2,no,12,3,full_time,1,2,3,10,7,4,yes,sales,2
30,no,Unknown,9,3,m,3,2, laboratory technician ,1,Unknown,3072.0,1,no,11,3,part_time,2,4,3,12,6,10,yes,research & development,3
34,no,travel_frequently,29,1,m,2,2, manufacturing director ,3,married,6477.686121919585,1,Unknown,17,3,full_time,0,2,2,10,1,9,no,research & development,4
51,no,travel_rarely,8,4,m,2,3, research director ,2,married,12490.0,5,no,16,4,full_time,2,5,1,10,4,7,no,research & development,2
34,no,Unknown,39,4,m,2,2, manufacturing director ,1,Unknown,6477.686121919585,6,Unknown,13,2,full_time,1,3,3,11,5,9,yes,research & development,3
35,no,travel_rarely,16,3,m,3,3, sales executive ,2,married,8020.0,0,Unknown,15,3,full_time,2,3,2,11,6,9,yes,sales,3
45,no,travel_frequently,7,3,m,3,3, laboratory technician ,1,Unknown,6477.686121919585,1,Unknown,18,1,full_time,1,2,3,24,9,11,yes,research & development,1
39,no,Unknown,10,1,m,3,4, manager ,1,married,17068.0,1,Unknown,14,4,full_time,0,3,3,21,11,10,yes,unknow,3
31,no,Unknown,7,2,f,2,3, manufacturing director ,3,married,8943.0,1,no,24,1,full_time,1,2,3,10,8,9,no,research & development,3
39,no,Unknown,7,2,m,2,5, manager ,4,married,19272.0,1,Unknown,15,1,full_time,1,2,3,21,13,3,yes,research & development,3
45,no,travel_rarely,8,4,m,3,2, research scientist ,4,Unknown,6477.686121919585,9,no,14,1,part_time,2,3,3,10,9,8,yes,research & development,4
30,no,travel_rarely,5,3,f,2,2, sales executive ,3,Unknown,6477.686121919585,1,Unknown,13,3,full_time,3,2,3,10,1,2,yes,sales,4
31,no,Unknown,7,4,f,3,3, manufacturing director ,4,Unknown,6477.686121919585,1,Unknown,14,3,full_time,0,2,2,11,4,10,no,research & development,3
36,no,Unknown,3,4,m,2,3, sales executive ,4,married,6477.686121919585,4,no,11,1,full_time,1,2,3,13,1,12,yes,sales,1
36,no,travel_rarely,2,2,m,2,3, sales executive ,3,married,6477.686121919585,1,Unknown,13,2,full_time,2,2,3,10,9,0,yes,sales,2
55,no,travel_rarely,18,5,f,3,4, manager ,2,single,6477.686121919585,3,no,23,4,full_time,0,2,3,10,7,7,yes,unknow,1
35,no,Unknown,1,3,m,3,2, sales executive ,3,Unknown,6477.686121919585,9,Unknown,11,3,full_time,0,2,3,11,6,9,yes,sales,2
42,no,travel_rarely,24,3,m,3,3, manufacturing director ,1,married,6477.686121919585,1,Unknown,21,4,part_time,1,5,2,10,5,8,no,research & development,4
52,no,travel_rarely,6,2,m,3,2, research scientist ,1,divorced,5577.0,3,yes,12,2,full_time,2,3,3,10,6,9,yes,research & development,4
49,no,Unknown,18,4,m,2,5, research director ,3,Unknown,6477.686121919585,1,yes,17,3,full_time,1,5,3,31,0,9,yes,research & development,4
34,no,travel_rarely,1,5,m,3,1, research scientist ,4,married,2691.0,1,no,12,4,part_time,1,4,2,10,8,8,yes,research & development,2
33,yes,travel_rarely,1,4,m,3,1, research scientist ,4,single,6477.686121919585,1,Unknown,13,3,part_time,0,2,2,10,7,8,no,research & development,4
33,no,Unknown,7,3,m,3,3, research director ,3,married,6477.686121919585,0,no,11,4,full_time,0,3,4,13,3,7,yes,research & development,3
53,no,travel_rarely,23,4,f,3,4, research director ,4,Unknown,6477.686121919585,6,no,18,3,full_time,0,0,3,12,3,8,yes,research & development,4
49,no,travel_rarely,8,2,f,3,3, laboratory technician ,2,married,7403.0,4,Unknown,11,3,full_time,1,3,2,26,1,7,no,research & development,1
35,no,Unknown,21,4,m,3,3, sales executive ,4,Unknown,6477.686121919585,6,Unknown,13,2,part_time,1,2,3,10,0,8,no,sales,2
38,no,travel_rarely,17,1,f,2,3, healthcare representative ,3,married,8823.0,0,Unknown,18,1,full_time,1,4,2,19,1,9,no,research & development,3
46,no,Unknown,3,1,m,3,4, manager ,3,married,6477.686121919585,3,no,12,4,full_time,1,3,3,12,4,9,no,sales,1
36,no,non_travel,18,4,m,3,2, manufacturing director ,4,single,6477.686121919585,2,Unknown,20,1,full_time,0,0,3,11,0,9,no,research & development,1
42,yes,travel_frequently,15,3,m,3,4, sales executive ,1,single,6477.686121919585,0,Unknown,12,2,full_time,0,2,2,21,13,14,yes,sales,1
34,no,travel_frequently,1,3,m,2,2, healthcare representative ,1,single,6477.686121919585,0,no,20,3,full_time,0,3,3,13,4,9,yes,research & development,4
30,no,travel_rarely,1,3,m,3,1, research scientist ,2,Unknown,3579.0,0,yes,21,1,full_time,1,2,3,11,5,7,yes,research & development,4
54,no,travel_rarely,3,3,m,3,4, research director ,4,married,17779.0,3,no,14,1,part_time,0,2,3,10,0,9,yes,research & development,4
31,no,travel_rarely,24,3,f,2,2, healthcare representative ,1,single,6477.686121919585,1,no,19,2,full_time,0,2,3,10,1,8,no,research & development,3
44,no,Unknown,5,3,m,3,5, manager ,2,married,18213.0,7,no,11,3,part_time,1,5,3,22,3,10,yes,unknow,2
55,no,non_travel,8,1,m,2,4, healthcare representative ,2,divorced,13577.0,1,yes,15,4,full_time,1,3,3,33,15,0,no,research & development,4
44,no,travel_rarely,4,2,m,4,5, manager ,1,divorced,19190.0,1,no,14,4,full_time,2,4,2,25,14,13,no,unknow,3
34,no,travel_frequently,11,3,m,2,2, human resources ,2,Unknown,6477.686121919585,4,no,11,4,full_time,2,5,4,10,1,8,yes,human resources,3
39,no,Unknown,13,4,f,2,4, manager ,2,divorced,17123.0,6,yes,13,4,full_time,2,4,3,19,15,2,no,unknow,3
55,no,travel_rarely,2,2,f,1,5, manager ,3,Unknown,19187.0,4,Unknown,14,4,full_time,1,5,3,19,9,11,yes,unknow,4
51,no,Unknown,5,3,m,3,4, manager ,2,Unknown,6477.686121919585,1,Unknown,11,2,part_time,1,2,3,33,0,10,yes,unknow,3
58,yes,Unknown,14,4,f,2,3, manufacturing director ,1,married,10008.0,7,Unknown,14,4,part_time,0,0,2,10,5,9,yes,research & development,1
48,no,Unknown,4,3,m,3,3, manufacturing director ,4,single,6477.686121919585,1,no,11,3,full_time,0,2,3,10,0,8,yes,research & development,4
29,no,travel_rarely,17,3,m,2,3, human resources ,1,single,7988.0,1,Unknown,13,1,full_time,0,3,2,10,0,9,no,human resources,2
34,no,Unknown,3,3,m,1,2, sales executive ,1,single,6477.686121919585,3,no,18,4,part_time,0,2,3,13,3,12,yes,sales,4
42,no,travel_frequently,9,2,f,3,1, laboratory technician ,4,Unknown,6477.686121919585,1,Unknown,13,3,full_time,0,3,3,12,5,8,yes,research & development,1
57,no,travel_rarely,1,2,m,4,2, research scientist ,3,married,6477.686121919585,0,no,24,1,full_time,1,2,2,12,2,8,yes,research & development,2
34,yes,travel_rarely,24,4,f,2,2, sales executive ,2,single,6477.686121919585,0,yes,23,3,full_time,0,2,4,15,10,10,no,sales,1
54,no,travel_frequently,11,4,f,3,4, manager ,4,Unknown,6477.686121919585,3,no,20,1,full_time,1,2,3,14,1,12,yes,unknow,2
34,no,travel_rarely,1,3,m,2,3, sales executive ,3,Unknown,7083.0,1,Unknown,14,4,part_time,0,3,3,10,8,6,no,sales,4
29,no,Unknown,3,1,m,3,1, laboratory technician ,1,single,4723.0,1,Unknown,18,4,full_time,0,3,3,10,1,5,yes,research & development,2
35,no,travel_rarely,28,3,m,4,2, laboratory technician ,3,Unknown,3407.0,1,Unknown,17,4,full_time,2,3,2,10,6,8,yes,research & development,2
35,yes,Unknown,12,4,m,3,2, sales executive ,4,Unknown,6477.686121919585,3,Unknown,24,1,full_time,0,2,4,11,6,7,yes,sales,4
34,no,travel_rarely,19,3,f,2,1, research scientist ,4,married,2929.0,1,no,12,2,full_time,0,3,3,10,8,7,yes,research & development,2
43,no,Unknown,2,3,m,3,2, sales executive ,4,Unknown,6477.686121919585,1,yes,17,1,full_time,1,3,3,10,8,8,no,sales,4
58,no,non_travel,2,3,m,3,4, manager ,2,divorced,6477.686121919585,4,no,22,4,full_time,1,0,2,16,14,14,yes,unknow,2
36,no,travel_rarely,14,4,f,2,2, sales executive ,3,married,6477.686121919585,1,yes,13,1,full_time,1,4,3,10,1,7,no,sales,1
43,no,travel_rarely,11,3,m,3,3, healthcare representative ,3,married,6477.686121919585,1,Unknown,17,2,full_time,1,1,3,10,0,9,yes,research & development,1
55,no,Unknown,26,4,m,4,5, manager ,2,married,6477.686121919585,4,yes,18,1,part_time,1,0,3,10,1,4,yes,unknow,3
42,no,Unknown,23,2,m,2,2, research scientist ,3,single,6477.686121919585,1,Unknown,12,4,part_time,0,2,3,20,3,7,yes,research & development,4
40,no,Unknown,11,3,f,3,2, laboratory technician ,3,married,6477.686121919585,1,Unknown,11,1,full_time,1,2,4,10,9,4,yes,research & development,4
56,yes,Unknown,7,2,m,3,1, laboratory technician ,3,married,6477.686121919585,8,no,11,4,part_time,1,4,1,10,9,8,yes,research & development,4
39,no,travel_rarely,33,1,f,2,4, sales executive ,4,Unknown,12031.0,0,Unknown,11,1,part_time,1,2,2,20,9,6,yes,sales,3
53,no,travel_rarely,2,4,f,2,4, manager ,4,married,15427.0,2,no,16,3,part_time,0,3,3,25,3,7,yes,unknow,1
27,no,travel_frequently,8,3,m,3,3, sales executive ,3,single,6477.686121919585,1,no,15,4,full_time,0,0,3,9,1,7,no,sales,4
30,no,travel_frequently,1,2,f,3,2, laboratory technician ,4,Unknown,6477.686121919585,1,Unknown,23,4,full_time,0,2,3,12,3,7,yes,research & development,3
35,no,Unknown,18,5,m,3,3, sales executive ,1,married,6477.686121919585,1,Unknown,22,4,part_time,1,3,2,9,1,8,yes,sales,2
32,no,travel_rarely,1,3,m,3,2, manufacturing director ,4,married,6162.0,1,yes,22,2,full_time,1,3,3,9,7,8,yes,research & development,1
30,no,travel_rarely,1,1,m,2,2, laboratory technician ,4,married,5126.0,1,Unknown,12,3,full_time,2,1,3,10,3,0,no,research & development,4
46,yes,Unknown,9,2,m,2,3, sales executive ,4,Unknown,9619.0,1,no,16,4,full_time,0,3,3,9,4,7,no,sales,3
30,no,travel_rarely,4,2,f,2,2, sales executive ,2,Unknown,6477.686121919585,1,yes,12,2,full_time,3,4,2,11,2,7,no,sales,3
32,no,Unknown,6,4,m,3,2, sales executive ,3,single,5010.0,1,no,16,1,part_time,0,0,3,11,5,7,yes,sales,2
35,no,travel_rarely,37,5,m,3,3, sales executive ,2,married,6477.686121919585,1,Unknown,13,1,full_time,2,3,3,10,0,6,no,sales,3
32,no,Unknown,8,3,f,3,3, sales executive ,4,single,6477.686121919585,1,Unknown,14,4,part_time,0,2,3,9,3,7,yes,sales,2
41,no,travel_rarely,34,3,m,3,1, research scientist ,3,divorced,6477.686121919585,4,no,12,1,full_time,1,2,3,9,1,8,yes,research & development,1
40,no,travel_rarely,4,1,f,3,5, manager ,3,Unknown,19033.0,1,no,14,2,full_time,1,2,3,20,9,9,no,unknow,4
45,no,Unknown,2,2,m,2,4, manager ,4,married,6477.686121919585,9,no,23,4,full_time,1,1,3,20,11,8,yes,unknow,1
32,yes,travel_rarely,4,4,m,1,3, sales executive ,4,married,10400.0,1,no,11,3,part_time,0,2,2,14,9,8,no,sales,4
30,no,non_travel,1,1,m,2,3, manufacturing director ,3,Unknown,6477.686121919585,1,no,22,3,part_time,0,2,3,11,5,8,yes,research & development,3
