Year,Gender,Country,Occupation,Self Employed,Family History,Treatment,Days Indoors,Growing Stress,Changes Habits,Mental Health History,Mood Swings,Coping Struggles,Work Interest,Social Weakness,Mental Health Interview,Care Options,Continent
2014,Female,United Kingdom,Corporate,No,Yes,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,Europa
2014,Female,United States,Corporate,No,Yes,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,América
2014,Female,Canada,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,América
2014,Female,United States,Corporate,No,Yes,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,América
2014,Female,United States,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Maybe,No,América
2014,Female,Canada,Corporate,Yes,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,América
2014,Female,United Kingdom,Corporate,No,Yes,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Maybe,Yes,Europa
2014,Female,Belgium,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Not sure,Europa
2015,Female,Ireland,Corporate,No,No,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,Europa
2015,Female,United States,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,América
2015,Female,United Kingdom,Corporate,No,No,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,Europa
2015,Female,Ireland,Corporate,No,Yes,No,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,Yes,Europa
2015,Female,United Kingdom,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,Maybe,Yes,Europa
2015,Female,United States,Corporate,No,Yes,Yes,1-14 days,Yes,No,Yes,Medium,No,No,Yes,No,No,América
2014,Female,United States,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United States,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Maybe,Yes,América
2014,Female,Poland,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Maybe,Not sure,Europa
2014,Female,Australia,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Oceanía
2014,Female,United States,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,No,Yes,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,Canada,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United Kingdom,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Maybe,No,Europa
2014,Female,United States,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,South Africa,Student,Yes,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,África
2014,Female,United States,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United Kingdom,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Europa
2014,Female,United States,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,Sweden,Student,No,Yes,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2014,Female,Sweden,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2014,Female,United States,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Yes,Yes,América
2014,Female,United Kingdom,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2014,Female,United Kingdom,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Maybe,Not sure,Europa
2014,Female,United States,Student,Yes,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,Canada,Student,Yes,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,Australia,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,Oceanía
2014,Female,New Zealand,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,Oceanía
2014,Female,Canada,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Maybe,Not sure,América
2014,Female,United Kingdom,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,Netherlands,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,Australia,Student,No,Yes,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,Oceanía
2014,Female,United Kingdom,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,India,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Asia
2014,Female,Canada,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,Yes,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United Kingdom,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,United Kingdom,Student,No,Yes,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,United Kingdom,Student,Yes,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,Canada,Student,Yes,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Maybe,Yes,América
2014,Female,United Kingdom,Student,No,Yes,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Europa
2014,Female,United States,Student,No,Yes,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,Canada,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,No,Yes,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Maybe,No,América
2014,Female,Canada,Student,Yes,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United Kingdom,Student,No,Yes,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Maybe,Yes,Europa
2014,Female,Belgium,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Europa
2015,Female,Ireland,Student,No,No,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2015,Female,United States,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,América
2015,Female,United Kingdom,Student,No,No,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2015,Female,Ireland,Student,No,Yes,No,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2015,Female,United Kingdom,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,Maybe,Yes,Europa
2015,Female,United States,Student,No,Yes,Yes,Go out Every day,No,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United States,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Maybe,Yes,América
2014,Female,Poland,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Maybe,Not sure,Europa
2014,Female,Australia,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Oceanía
2014,Female,United States,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,Canada,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United Kingdom,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Maybe,No,Europa
2014,Female,United States,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,South Africa,Student,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,África
2014,Female,United States,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United Kingdom,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Europa
2014,Female,United States,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,Sweden,Student,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2014,Female,Sweden,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2014,Female,United States,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Yes,Yes,América
2014,Female,United Kingdom,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2014,Female,United Kingdom,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Maybe,Not sure,Europa
2014,Female,United States,Student,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,Canada,Student,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,Australia,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,Oceanía
2014,Female,New Zealand,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,Oceanía
2014,Female,Canada,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Maybe,Not sure,América
2014,Female,United Kingdom,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,Netherlands,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,Australia,Student,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,Oceanía
2014,Female,United Kingdom,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,India,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Asia
2014,Female,Canada,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United Kingdom,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,United Kingdom,Student,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,United Kingdom,Student,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2014,Female,Canada,Student,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Maybe,Yes,América
2014,Female,United Kingdom,Student,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Europa
2014,Female,United States,Student,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,Canada,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,América
2014,Female,United States,Student,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Maybe,No,América
2014,Female,Canada,Student,Yes,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,América
2014,Female,United Kingdom,Student,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Maybe,Yes,Europa
2014,Female,Belgium,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Not sure,Europa
2015,Female,Ireland,Student,No,No,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,Europa
2015,Female,United States,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,América
2015,Female,United Kingdom,Student,No,No,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2015,Female,Ireland,Student,No,Yes,No,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,Yes,Europa
2015,Female,United Kingdom,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,Maybe,Yes,Europa
2015,Female,United States,Student,No,Yes,Yes,More than 2 months,Yes,Yes,No,Medium,Yes,Maybe,No,No,No,América
2014,Female,United States,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,América
2014,Female,United States,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,América
2014,Female,United States,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,América
2014,Female,United States,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Maybe,Yes,América
2014,Female,Poland,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Maybe,Not sure,Europa
2014,Female,Australia,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,Oceanía
2014,Female,United States,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,América
2014,Female,United States,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,América
2014,Female,United States,Business,No,Yes,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,América
2014,Female,Canada,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,América
2014,Female,United Kingdom,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Maybe,No,Europa
2014,Female,United States,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,América
2014,Female,South Africa,Business,Yes,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,África
2014,Female,United States,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,América
2014,Female,United Kingdom,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,Europa
2014,Female,United States,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,América
2014,Female,United States,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,América
2014,Female,Sweden,Business,No,Yes,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,Europa
2014,Female,Sweden,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,Europa
2014,Female,United States,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Yes,Yes,América
2014,Female,United Kingdom,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,Europa
2014,Female,United Kingdom,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Maybe,Not sure,Europa
2014,Female,United States,Business,Yes,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,América
2014,Female,Canada,Business,Yes,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,América
2014,Female,Australia,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,Oceanía
2014,Female,New Zealand,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,Oceanía
2014,Female,Canada,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,América
2014,Female,United States,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Maybe,Not sure,América
2014,Female,United Kingdom,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,Europa
2014,Female,Netherlands,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,Europa
2014,Female,Australia,Business,No,Yes,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,Oceanía
2014,Female,United Kingdom,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,Europa
2014,Female,India,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,Asia
2014,Female,Canada,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,América
2014,Female,United States,Business,Yes,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,América
2014,Female,United Kingdom,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,Europa
2014,Female,United Kingdom,Business,No,Yes,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,Europa
2014,Female,United Kingdom,Business,Yes,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,Europa
2014,Female,Canada,Business,Yes,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Maybe,Yes,América
2014,Female,United Kingdom,Business,No,Yes,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,Europa
2014,Female,United States,Business,No,Yes,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,América
2014,Female,Canada,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,América
2014,Female,United States,Business,No,Yes,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,América
2014,Female,United States,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Maybe,No,América
2014,Female,Canada,Business,Yes,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,América
2014,Female,United Kingdom,Business,No,Yes,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Maybe,Yes,Europa
2014,Female,Belgium,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Not sure,Europa
2015,Female,Ireland,Business,No,No,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,Europa
2015,Female,United States,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,América
2015,Female,United Kingdom,Business,No,No,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,Europa
2015,Female,Ireland,Business,No,Yes,No,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,Yes,Europa
2015,Female,United Kingdom,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,Maybe,Yes,Europa
2015,Female,United States,Business,No,Yes,Yes,Go out Every day,Yes,Maybe,No,Low,No,Maybe,Maybe,No,No,América
2014,Female,United States,Student,No,No,Yes,1-14 days,Yes,Maybe,Maybe,High,No,No,Yes,No,Not sure,América
2014,Female,United States,Student,No,Yes,Yes,1-14 days,Yes,Maybe,Maybe,High,No,No,Yes,No,No,América
2014,Female,United States,Student,No,Yes,Yes,1-14 days,Yes,Maybe,Maybe,High,No,No,Yes,No,Yes,América
2014,Female,United States,Student,No,Yes,Yes,1-14 days,Yes,Maybe,Maybe,High,No,No,Yes,Maybe,Yes,América
2014,Female,Poland,Student,No,No,Yes,1-14 days,Yes,Maybe,Maybe,High,No,No,Yes,Maybe,Not sure,Europa
2014,Female,Australia,Student,No,Yes,Yes,1-14 days,Yes,Maybe,Maybe,High,No,No,Yes,No,Not sure,Oceanía
2014,Female,United States,Student,No,No,No,1-14 days,Yes,Maybe,Maybe,High,No,No,Yes,No,No,América
2014,Female,United States,Student,No,No,No,1-14 days,Yes,Maybe,Maybe,High,No,No,Yes,No,Not sure,América
